Map Container Profile (unit:ms)
TaskName,TaskID,Initailization,Input,SQLoperator,Sink,Spill,Starting Time,Ending Time,Cost Time,Node Locate
Map 1,attempt_1606874353529_0225_1_01_000049_0,14.2953,7185.31,2105.12,223.632,796.906,49040,59366,10326,17
Map 25,attempt_1606874353529_0225_1_09_000001_0,22.6572,8792.58,998.61,195.485,2612.17,120352,132974,12622,17
Map 1,attempt_1606874353529_0225_1_01_000031_0,27.1387,1005.79,2119.63,228.85,784.423,31004,35171,4167,17
Map 10,attempt_1606874353529_0225_1_00_000001_0,278.769,3615.96,4575.52,1888.75,2850.7,870,14105,13235,17
Map 10,attempt_1606874353529_0225_1_00_000018_0,18.4782,5425.16,7414.29,1152.77,2171.7,14702,30885,16183,17
Map 1,attempt_1606874353529_0225_1_01_000008_0,15.3679,4280.34,2642.7,280.197,725.651,35738,43683,7945,17
Map 17,attempt_1606874353529_0225_1_02_000006_0,25.0117,46151.5,6684.8,2882.98,5110.59,59480,120336,60856,17
Map 24,attempt_1606874353529_0225_1_03_000000_0,95.1107,2649.13,57.4045,1.9899,32.0556,120038,122875,2837,18
Map 25,attempt_1606874353529_0225_1_09_000000_0,24.9188,4732.68,1028.32,192.148,2354.46,123439,131773,8334,18
Map 1,attempt_1606874353529_0225_1_01_000032_0,24.351,791.093,2238.56,218.103,847.28,37521,41641,4120,18
Map 10,attempt_1606874353529_0225_1_00_000002_0,244.027,2767.39,3814.26,1638.24,2491.74,0,10965,10965,18
Map 1,attempt_1606874353529_0225_1_01_000024_0,31.082,31917.2,3014.94,314.91,763.534,42202,78244,36042,18
Map 10,attempt_1606874353529_0225_1_00_000037_0,25.7551,2424.87,3054.62,1151.18,2087.57,11096,19841,8745,18
Map 17,attempt_1606874353529_0225_1_02_000027_0,14.2618,27381.5,6478.75,2668.96,4951.3,78252,119748,41496,18
Map 10,attempt_1606874353529_0225_1_00_000050_0,17.9212,9787.63,3843.28,1149.37,2205.91,20409,37414,17005,18
Map 10,attempt_1606874353529_0225_1_00_000006_0,254.336,3191.31,5076.29,1929.48,2852.94,679,13996,13317,17
Map 17,attempt_1606874353529_0225_1_02_000031_0,17.7497,63219.3,7416.14,2974,5527.1,67274,146429,79155,17
Map 1,attempt_1606874353529_0225_1_01_000043_0,43.6322,16063.8,2836.83,302.374,742.943,47222,67212,19990,17
Map 1,attempt_1606874353529_0225_1_01_000026_0,19.2234,1062.48,2058.1,222.298,839.827,30932,35135,4203,17
Map 1,attempt_1606874353529_0225_1_01_000003_0,19.4237,7229.47,2539.16,270.759,879.957,35706,46646,10940,17
Map 10,attempt_1606874353529_0225_1_00_000051_0,25.6071,2632.16,4890.97,1026.69,2316.59,14134,25027,10893,17
Map 1,attempt_1606874353529_0225_1_01_000006_0,15.9055,1219.47,3115.27,335.519,964.492,25167,30818,5651,17
Map 10,attempt_1606874353529_0225_1_00_000048_0,26.2417,7046.42,4048.71,1044.15,2267.24,20169,34603,14434,18
Map 1,attempt_1606874353529_0225_1_01_000022_0,24.3131,589.078,1846.18,207.75,803.805,34710,38183,3473,18
Map 10,attempt_1606874353529_0225_1_00_000007_0,230.089,3019.55,3774.19,1510.86,2428.46,74,11045,10971,18
Map 17,attempt_1606874353529_0225_1_02_000017_0,21.9387,30267.4,6368.49,2987.44,5458.78,63478,108583,45105,18
Map 1,attempt_1606874353529_0225_1_01_000037_0,15.3751,722.752,1968.49,216.603,1114.81,38289,42327,4038,18
Map 10,attempt_1606874353529_0225_1_00_000047_0,38.9128,1603.63,3361.7,1311.14,2109.83,11176,19602,8426,18
Map 1,attempt_1606874353529_0225_1_01_000029_0,19.5874,16866.4,2513.64,270.84,805.411,42895,63372,20477,18
Map 17,attempt_1606874353529_0225_1_02_000048_0,17.4572,26945.3,5089.33,3081.04,4594.5,109145,148874,39729,18
Map 17,attempt_1606874353529_0225_1_02_000034_0,41.8161,3926.17,5514.03,3245.13,4964.08,54720,72413,17693,20
Map 10,attempt_1606874353529_0225_1_00_000038_0,27.7517,31685.2,4241.14,1175.2,2167.93,15396,54694,39298,20
